title,URL,points
"I like 'em thick: an apology to my English teachers",https://www.experimental-history.com/p/i-like-em-thick,135
"AliExpress runs silent WebAudio fingerprinting that breaks Bluetooth multipoint",https://blog.laserphile.com/2026/08/aliexpress-webpage-keeping-multipoint.html,581
"Show HN: I trained a 125M model to autocomplete piano on-device",https://simedw.com/2026/08/20/midi-autocomplete/,310
"HTML Can Do That",https://chrisburnell.com/html-can-do-that/,183
"CIA funding helped keep NeXT afloat in the 80s",https://www.wsj.com/tech/steve-jobs-apple-next-cia-161b65f9?st=NWWds1&reflink=desktopwebshare_permalink,126
